Name,Location,Capacity
Cass Ave & Gilmour Mall,"location
(42.3603014, -83.0693972)",15
Cass Ave & W Hancock St,"location
(42.3547754, -83.0662076)",15
Second Ave & Prentis St,"location
(42.352101, -83.0672128)",15
Second Ave & W Grand Blvd,"location
(42.3686983, -83.0765019)",19
E Bethune St & Brush St,"location
(42.3740732, -83.0699585)",15
Henry Ford Hospital,"location
(42.3666561, -83.0839976)",19
Second Ave & Burroughs St,"location
(42.3641126, -83.0741135)",19
WSU - W Kirby & Third Ave,"location
(42.3580684, -83.0728823)",15
Trumbull Ave & Merrick St,"location
(42.354341769196, -83.0797193)",19
Kirby St & Woodward Ave,"location
(42.3596382123624, -83.0668044570873)",19
WCCC - W Fort St,"location
(42.3269098478533, -83.0558166330097)",15
Farnsworth St & John R St,"location
(42.3589266, -83.0631066)",19
Second Ave & Selden St,"location
(42.3475276, -83.0647032)",15
Mack Ave & John R St,"location
(42.3484068, -83.0561618)",19
Wilkins St & Russell St,"location
(42.3491395, -83.0428618)",15
Gratiot Ave & Russell St,"location
(42.3435517, -83.0390059)",19
Agnes St & Parker St,"location
(42.3555038, -82.996371)",15
Wight St & Mt Elliott,"location
(42.341469, -83.0090633)",15
E Lafayette St & Orleans St,"location
(42.3387965, -83.0313792)",19
Beaubien St & E Lafayette St,"location
(42.3338596, -83.0419847)",19
Brush St & Madison St,"location
(42.3375871, -83.0456218)",15
Grand Circus Park - West,"location
(42.3361913, -83.0505999)",19
Cobo Center - Washington Blvd & W Congress St,"location
(42.3285297, -83.049172)",23
Rosa Parks Transit Center,"location
(42.3314525, -83.0522404)",15
Bagley Ave & Plaza Dr,"location
(42.3329198, -83.0568646)",18
Wabash St & Michigan Ave,"location
(42.3316825, -83.0752484)",15
20th St & Bagley Ave,"location
(42.3245875, -83.0809991)",15
W Vernor Hwy & Scotten Ave,"location
(42.3211289, -83.0934284)",15
DMC - John R St & E Canfield St,"location
(42.3535535, -83.0591364)",15
W Willis St & Cass Ave,"location
(42.3503107530495, -83.0639665613038)",19
Temple St & Second Ave,"location
(42.3409778146987, -83.061003028738)",15
Woodward Ave & Peterboro St,"location
(42.3452112199655, -83.0566254459779)",15
Jos Campau & Guoin St,"location
(42.3370020311771, -83.0180075666657)",15
Atwater St & Orleans St,"location
(42.3331937433953, -83.0262807285468)",19
Jefferson Ave & Beaubien St,"location
(42.3307300916096, -83.0404335960739)",15
Ren Cen Plaza & Detroit Riverwalk,"location
(42.3283358268247, -83.0376760364945)",23
Paradise Valley - Gratiot Ave & Randolph St,"location
(42.3360329739148, -83.046021289387)",15
Capitol Park - Griswold St & State St,"location
(42.3332254557271, -83.0496548244076)",11
Monroe Ave & Campus Martius,"location
(42.3321156282073, -83.0460447818672)",27
Larned St & Woodward Ave,"location
(42.3295349107905, -83.0447568753539)",15
W Fort St & Griswold St,"location
(42.3307530707343, -83.0470914556195)",19
Brooklyn St & Michigan Ave,"location
(42.3317931378918, -83.064026688462)",15
23rd St & Bagley Ave,"location
(42.3231747937402, -83.0847038445055)",15
